"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"14796","FA0058540",93.7142857142857,"8690 WILSHIRE BLVD","BEVERLY HILLS","FA0058540","BOMBAY PALACE","RESTAURANT (61-150) SEATS HIGH RISK",-118.381222,34.06643
"14797","FA0071974",97.2,"3361 8TH ST","LOS ANGELES","FA0071974","TAYLORS PRIME STEAKS","RESTAURANT (61-150) SEATS HIGH RISK",-118.302223,34.057696
"14798","FA0055805",92.5,"7555 BALBOA BLVD","VAN NUYS","FA0055805","YUMMY DONUTS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.501135,34.207868
"14799","FA0072108",93.4,"128 N OBERLIN AVE","CLAREMONT","FA0072108","THE BACK ABBEY","RESTAURANT (61-150) SEATS MODERATE RISK",-117.720667,34.095168
"14800","FA0241381",91.5,"281 S THOMAS ST # 103","POMONA","FA0241381","PHO VINA NOODLE & GRILL","RESTAURANT (31-60) SEATS HIGH RISK",-117.751224,34.057152
"14801","FA0136982",94.5,"344 S LA BREA AVE","LOS ANGELES","FA0136982","TWIST","RESTAURANT (31-60) SEATS HIGH RISK",-118.344022,34.067555
"14802","FA0055840",95,"1301 5TH ST","SANTA MONICA","FA0055840","WEST END","RESTAURANT (31-60) SEATS LOW RISK",-118.495469,34.018259
"14803","FA0222502",97.7142857142857,"8205 WOODMAN AVE STE 107","PANORAMA CITY","FA0222502","EL RINCONCITO CENTRO AMERICANO","RESTAURANT (31-60) SEATS HIGH RISK",-118.432114,34.219492
"14804","FA0160436",92.25,"701 LOS CERRITOS CTR","CERRITOS","FA0160436","GREEN CRUSH CERRITOS-REMOTE 337","RESTAURANT (0-30) SEATS MODERATE RISK",-118.094591,33.863711
"14805","FA0257049",100,"300 S MARIPOSA AVE","LOS ANGELES","FA0257049","URBAN CAFE","RESTAURANT (0-30) SEATS MODERATE RISK",-118.29922,34.068991
"14806","FA0037683",94.875,"17000 VENTURA BLVD 104","ENCINO","FA0037683","THE STAND","RESTAURANT (151 + ) SEATS HIGH RISK",-118.503433,34.1598
